user_id,age_group,country,subscription_type,signup_source,total_courses_enrolled,total_courses_completed,avg_video_watch_time_per_day,days_since_last_login,assessments_attempted,avg_session_length,forum_posts,mobile_usage_ratio,weekly_learning_sessions,learning_streak_days,assignment_completion_rate,quiz_score_average,dropout_midcourse,payment_success_rate,billing_failures,subscription_price,discounts_used,refunds_requested,churn
37,25-34,USA,Monthly,Organic,5,2,8.01,33,2,19.85,0,0.36,2,11,0.84,37.57,0,0.89,0,20,1,0,1
38,18-24,India,Annual,Google,2,2,15.61,29,2,16.8,1,0.23,2,5,0.11,62.5,1,0.98,0,150,1,0,0
39,35-44,Germany,Monthly,Organic,2,0,2.77,28,6,14.92,1,0.39,5,14,0.66,91.62,1,0.74,0,20,0,0,1
40,25-34,India,Monthly,Ads,4,3,34.83,18,4,21.85,0,0.4,3,12,0.05,100.0,0,0.88,0,20,0,0,0
41,18-24,India,Monthly,Google,3,0,11.42,26,3,10.05,1,0.29,3,9,0.91,87.1,1,0.99,0,20,1,0,1
42,25-34,Canada,Monthly,Organic,2,0,46.08,36,6,13.9,0,0.71,1,1,0.21,66.04,0,0.95,1,20,2,0,1
43,18-24,Canada,Monthly,Ads,4,2,31.87,57,3,13.93,0,0.85,1,13,0.14,67.02,1,0.8,1,20,1,0,1
44,45-54,India,Free,Google,5,3,53.63,55,5,9.93,1,0.49,1,8,0.1,63.37,0,0.82,0,0,1,0,1
45,25-34,India,Free,Google,7,6,19.56,28,2,12.13,3,0.3,4,1,0.58,56.75,0,0.85,0,0,0,0,0
46,35-44,Germany,Annual,Google,2,0,20.09,58,3,16.28,1,0.56,2,5,0.57,62.9,0,0.8,0,150,1,0,1
47,25-34,India,Free,Organic,3,0,2.13,10,5,15.53,1,0.37,3,8,0.2,63.8,0,0.72,0,0,1,0,1
48,25-34,India,Monthly,Google,2,1,0.42,6,5,14.25,0,0.5,0,5,0.96,85.73,1,0.96,0,20,0,0,0
49,25-34,USA,Monthly,Organic,4,0,5.13,29,5,21.06,1,0.41,3,0,0.3,35.09,0,0.75,0,20,0,0,1
50,18-24,Australia,Free,Google,3,2,1.23,53,2,19.0,2,0.57,2,12,0.93,75.95,0,0.92,0,0,0,0,1
51,55+,India,Monthly,Google,4,2,48.34,21,1,8.67,1,0.42,5,12,0.51,50.9,0,0.74,0,20,0,1,0
52,35-44,Canada,Free,Google,2,0,9.09,38,0,9.75,1,0.43,3,7,0.63,55.43,0,0.82,1,0,1,0,1
53,45-54,USA,Annual,Ads,3,0,3.88,48,3,14.34,1,0.22,5,11,0.01,83.36,0,0.85,0,150,1,0,1
54,45-54,USA,Free,Google,1,0,10.69,23,5,18.92,2,0.87,2,1,0.82,71.48,1,0.83,0,0,1,0,1
55,25-34,Canada,Monthly,Ads,1,0,12.26,12,4,11.75,0,0.43,2,14,0.15,72.76,0,0.95,0,20,2,0,1
56,45-54,Other,Monthly,Google,2,0,5.47,43,3,23.14,0,0.76,0,4,0.54,81.9,0,0.84,0,20,0,0,1
57,18-24,India,Monthly,Referral,3,0,31.39,3,0,15.02,1,0.51,4,14,0.34,62.58,0,0.98,0,20,1,1,1
58,18-24,India,Free,Referral,3,3,2.31,45,5,14.73,2,0.4,2,9,0.82,77.8,0,0.73,0,0,1,0,1
59,18-24,Australia,Monthly,Google,4,0,34.54,36,2,12.45,1,0.72,2,7,0.7,63.34,1,0.84,0,20,2,0,1
60,25-34,UK,Free,Referral,3,3,48.2,44,7,16.72,2,0.34,2,14,0.31,77.26,0,0.86,0,0,1,0,1
61,25-34,USA,Free,Organic,2,0,3.13,6,4,6.74,1,0.95,3,13,0.6,62.34,0,0.81,1,0,2,0,1
62,25-34,USA,Monthly,Ads,2,1,0.12,57,5,17.98,2,0.41,2,8,0.4,100.0,0,0.87,0,20,2,0,1
63,45-54,Canada,Free,Google,4,3,18.78,49,4,12.63,0,0.24,4,13,0.83,81.8,0,0.89,1,0,1,0,1
64,25-34,Canada,Monthly,Ads,4,3,15.53,14,3,10.39,2,0.8,0,1,0.52,78.49,0,0.72,1,20,1,1,0
65,25-34,Australia,Monthly,Referral,3,1,11.4,25,5,16.51,1,0.32,2,4,0.77,40.13,1,0.79,1,20,1,0,0
66,25-34,USA,Annual,Google,4,1,9.75,1,0,11.87,1,0.84,2,13,0.25,52.6,0,0.73,0,150,0,0,0
67,18-24,India,Monthly,Google,3,2,11.4,22,3,15.45,1,0.27,5,14,0.88,83.32,0,0.73,0,20,0,0,0
68,45-54,UK,Free,Google,1,0,4.56,39,3,11.62,3,0.8,3,6,0.74,71.34,1,0.73,1,0,1,0,1
69,18-24,USA,Monthly,Google,2,2,10.42,46,3,14.88,2,0.4,0,9,0.86,56.36,0,0.91,0,20,0,0,1
70,55+,USA,Annual,Google,3,0,48.62,53,6,7.19,2,0.81,3,0,0.94,46.22,0,0.75,0,150,1,0,1
71,35-44,USA,Annual,Google,3,1,6.02,25,0,9.97,3,0.48,4,14,0.01,64.45,0,0.97,1,150,0,0,0
72,18-24,India,Monthly,Google,4,1,36.8,31,4,9.06,0,0.98,7,9,0.5,64.67,1,0.93,0,20,1,0,1
73,18-24,USA,Annual,Google,2,1,3.11,36,3,19.57,1,0.53,1,5,0.59,34.6,1,0.82,0,150,1,0,1
74,45-54,UK,Monthly,Google,4,3,14.87,54,2,15.55,1,0.72,3,5,0.08,64.51,0,0.81,1,20,1,0,1
75,35-44,Canada,Annual,Ads,1,0,30.26,4,2,19.62,2,0.25,1,10,0.79,69.67,0,0.87,0,150,0,0,1
76,35-44,USA,Monthly,Organic,1,0,4.75,19,3,12.06,1,0.59,4,7,0.8,58.63,1,0.91,0,20,2,0,1
77,35-44,India,Annual,Google,4,2,13.92,28,3,17.08,2,0.85,5,12,0.18,67.27,1,0.78,0,150,1,0,0
78,18-24,USA,Annual,Google,2,0,26.94,6,3,11.41,0,0.95,3,4,0.92,44.57,1,0.77,0,150,2,0,1
79,25-34,Canada,Free,Google,4,3,3.89,27,5,14.64,0,0.48,2,13,0.85,61.64,0,0.88,0,0,1,0,0
80,18-24,USA,Annual,Organic,1,0,20.91,21,3,17.44,0,0.58,3,0,0.97,70.29,0,0.93,0,150,3,0,1
81,45-54,UK,Free,Ads,2,2,15.28,42,3,13.44,0,0.28,3,8,0.79,83.09,1,0.81,0,0,1,0,1
82,35-44,USA,Monthly,Google,4,3,5.84,4,8,6.33,1,0.49,4,12,0.52,83.84,0,0.74,0,20,0,0,0
83,25-34,India,Monthly,Referral,5,4,4.59,3,2,15.71,0,0.65,2,12,0.93,35.61,0,0.96,1,20,2,0,0
84,18-24,Canada,Monthly,Google,2,0,112.62,13,2,20.03,1,0.63,2,4,0.38,55.17,0,0.79,0,20,0,0,1
85,25-34,India,Annual,Google,1,1,12.82,48,7,11.24,4,0.72,4,12,0.68,52.65,1,0.95,2,150,2,0,1
86,25-34,USA,Monthly,Google,3,2,29.71,4,7,16.25,0,0.89,3,12,0.55,80.2,1,0.9,0,20,1,1,0
87,35-44,India,Free,Google,1,0,23.27,26,4,11.69,3,0.59,0,13,0.72,94.08,1,0.78,0,0,1,1,1
88,35-44,India,Free,Ads,4,4,16.06,54,1,14.68,2,0.96,3,11,0.26,86.25,0,0.87,0,0,1,0,1
89,45-54,USA,Monthly,Ads,1,0,71.28,37,1,16.35,1,0.77,0,2,0.77,74.39,0,0.89,0,20,1,0,1
90,25-34,USA,Monthly,Referral,3,2,2.95,56,8,19.59,0,0.5,2,9,0.57,37.25,0,0.89,0,20,1,0,1
91,18-24,Canada,Free,Ads,3,3,55.08,29,2,12.73,1,0.2,4,7,0.74,53.6,0,0.93,1,0,0,0,0
92,35-44,Canada,Monthly,Ads,2,0,17.04,51,3,14.53,2,0.5,6,0,0.78,77.42,0,0.7,0,20,1,0,1
93,35-44,Canada,Free,Ads,5,0,91.19,36,6,11.59,1,0.33,2,10,0.67,72.99,0,0.9,2,0,1,0,1
94,25-34,USA,Monthly,Ads,2,1,8.87,47,4,8.17,0,0.32,5,1,0.76,63.89,0,0.89,0,20,0,0,1
95,35-44,UK,Free,Google,6,6,2.48,4,6,8.77,0,0.49,2,5,0.28,90.2,0,0.77,1,0,1,0,0
96,25-34,USA,Monthly,Ads,1,0,4.99,7,8,21.66,4,0.56,5,4,0.49,92.95,0,0.8,0,20,1,0,1
97,25-34,USA,Free,Organic,3,3,9.42,20,4,12.36,1,0.84,3,13,0.91,59.24,0,0.88,0,0,2,0,0
98,25-34,USA,Free,Ads,6,6,29.5,10,5,19.98,0,0.8,0,3,0.87,49.17,1,0.91,0,0,1,0,0
99,18-24,Australia,Annual,Ads,3,3,5.25,23,5,15.92,1,0.58,3,7,0.03,75.67,0,0.97,0,150,0,0,0
100,18-24,India,Monthly,Google,4,1,56.2,1,4,16.71,0,0.91,2,4,0.74,72.02,1,0.99,0,20,1,1,0
101,18-24,Australia,Monthly,Organic,1,0,9.46,45,6,17.97,2,0.95,1,8,0.92,36.34,0,0.86,1,20,2,0,1
102,35-44,India,Monthly,Organic,3,0,17.9,43,5,19.55,0,0.7,7,4,0.9,70.77,1,0.74,0,20,0,0,1
103,25-34,India,Monthly,Referral,4,4,1.56,41,3,14.82,1,0.72,1,6,0.29,60.54,0,0.7,0,20,1,0,1
104,25-34,India,Monthly,Google,2,0,15.3,4,3,25.89,0,0.76,2,5,0.7,65.43,1,0.95,0,20,1,0,1
105,45-54,UK,Monthly,Organic,4,2,29.22,59,3,17.58,0,0.39,1,1,0.12,75.81,0,0.96,0,20,1,0,1
106,18-24,India,Monthly,Google,3,0,20.91,45,6,20.92,1,0.64,2,0,0.06,58.9,0,0.71,0,20,1,0,1
107,25-34,Germany,Free,Ads,4,1,21.87,29,4,8.83,0,0.87,1,3,0.4,62.37,0,0.86,0,0,1,0,0
108,35-44,Germany,Free,Ads,3,2,17.74,4,8,18.64,1,0.84,2,6,0.47,55.55,0,0.84,0,0,0,0,0
109,18-24,UK,Annual,Referral,2,0,107.97,15,5,9.22,0,0.65,3,10,0.52,59.95,0,0.98,0,150,2,1,1
110,18-24,USA,Annual,Referral,6,3,10.2,21,1,22.71,1,0.66,5,9,0.88,97.64,0,0.93,0,150,0,0,0
111,25-34,Australia,Free,Referral,2,2,13.39,45,3,10.87,3,0.76,3,6,0.87,44.18,0,0.94,0,0,2,0,1
112,18-24,Germany,Free,Organic,4,3,12.41,8,4,11.39,0,0.24,0,6,0.54,42.8,0,0.84,0,0,0,0,0
113,45-54,USA,Free,Ads,3,0,5.92,0,1,11.5,2,0.96,4,12,0.72,79.85,0,0.88,0,0,0,1,1
114,45-54,Canada,Monthly,Referral,3,1,9.63,27,2,14.15,4,0.84,2,12,0.69,89.4,0,0.99,1,20,0,0,0
115,35-44,USA,Free,Google,2,0,15.17,26,2,27.94,2,0.39,2,10,0.53,58.7,0,0.85,0,0,2,0,1
116,45-54,USA,Monthly,Ads,5,4,20.57,25,3,12.62,1,0.5,4,11,0.31,76.25,0,0.92,0,20,1,0,0
117,45-54,India,Annual,Google,1,0,8.88,41,3,20.6,0,0.54,5,0,0.46,51.47,0,0.82,0,150,0,0,1
118,18-24,USA,Annual,Organic,5,3,11.24,5,1,13.63,2,0.62,2,8,0.14,85.05,1,0.83,0,150,1,0,0
119,45-54,India,Free,Organic,2,0,16.18,23,2,20.04,0,0.92,6,5,0.35,77.14,0,0.89,0,0,1,0,1
120,25-34,USA,Annual,Google,6,4,60.13,17,0,18.48,1,0.37,1,11,0.54,82.38,0,0.99,0,150,2,0,0
121,45-54,UK,Monthly,Ads,2,2,17.35,36,2,13.14,1,0.52,4,5,0.26,65.14,1,0.88,0,20,1,0,1
122,45-54,Other,Free,Google,1,0,12.45,32,2,16.14,2,0.6,2,9,0.35,66.07,0,0.77,0,0,2,1,1
123,25-34,Other,Monthly,Google,6,6,10.11,59,2,11.25,0,0.57,3,9,0.64,83.68,0,0.9,0,20,1,1,1
124,18-24,USA,Monthly,Ads,1,0,171.65,2,8,13.73,0,0.5,4,13,0.55,92.62,1,0.99,0,20,0,0,1
125,18-24,UK,Annual,Google,4,3,108.26,12,3,19.95,0,0.56,2,11,0.29,68.44,0,0.91,0,150,1,0,0
126,25-34,India,Free,Google,4,0,47.1,59,2,1.0,1,0.81,2,13,0.73,49.1,0,0.92,0,0,1,1,1
127,45-54,UK,Free,Ads,2,1,2.28,53,4,10.7,0,0.71,7,6,0.9,80.37,0,0.93,0,0,1,0,1
128,45-54,India,Monthly,Google,5,4,7.18,24,1,11.73,0,0.84,3,14,0.61,77.5,0,0.74,0,20,1,0,0
129,18-24,India,Annual,Ads,5,4,17.41,15,3,16.44,1,0.2,5,7,0.1,59.57,0,0.85,0,150,0,1,0
130,25-34,UK,Annual,Google,1,0,26.27,7,2,20.16,0,0.6,2,13,0.45,73.08,0,0.98,0,150,2,0,1
131,25-34,India,Free,Referral,4,3,39.14,13,2,17.0,0,0.23,0,2,0.95,71.89,0,0.86,0,0,0,0,0
132,18-24,India,Free,Ads,5,1,12.42,51,5,6.09,0,0.6,1,2,0.44,99.58,0,0.79,0,0,0,0,1
133,18-24,Germany,Annual,Referral,8,6,47.19,12,0,16.75,0,0.71,2,2,0.71,69.31,1,0.79,0,150,2,0,0
134,25-34,India,Monthly,Google,3,0,48.72,14,2,3.38,0,0.35,3,6,0.53,78.69,0,0.71,0,20,0,0,1
135,45-54,India,Annual,Google,0,0,1.8,19,0,15.57,0,0.75,1,11,0.22,85.52,0,0.7,1,150,1,0,1
136,25-34,India,Annual,Organic,1,0,81.67,16,4,16.68,0,0.69,6,5,0.8,49.76,1,0.94,0,150,1,0,1
137,25-34,India,Free,Ads,4,3,56.02,22,8,12.72,0,0.67,2,4,0.52,38.87,1,0.76,0,0,0,0,0
138,35-44,India,Monthly,Google,1,0,13.35,54,4,19.04,1,0.71,3,3,0.38,71.27,0,0.91,0,20,2,0,1
139,25-34,Canada,Free,Organic,3,1,5.51,29,6,18.17,2,0.46,2,2,0.24,85.73,0,0.92,1,0,2,0,0
140,55+,India,Monthly,Google,1,0,7.57,6,2,17.58,1,0.65,1,7,0.02,96.47,0,0.87,0,20,1,1,1
141,55+,Germany,Monthly,Ads,4,1,4.46,28,3,7.97,0,0.37,3,14,0.85,68.23,0,0.8,0,20,0,0,0
142,25-34,India,Annual,Google,1,1,49.71,3,4,20.22,1,0.87,4,0,0.38,73.5,0,0.84,1,150,2,0,0
143,25-34,USA,Annual,Google,1,0,20.38,29,2,19.02,2,0.66,5,11,0.15,48.77,1,0.75,0,150,2,0,1
144,25-34,UK,Free,Google,3,2,8.95,18,4,16.48,2,0.72,5,0,0.16,61.8,1,0.77,1,0,1,0,0
145,25-34,UK,Free,Google,2,1,5.74,19,5,14.16,0,0.41,4,2,0.86,70.14,1,0.97,0,0,1,0,0
146,18-24,UK,Monthly,Ads,2,1,1.13,39,4,15.7,1,0.23,6,13,0.84,54.71,1,0.81,0,20,2,0,1
147,35-44,Australia,Annual,Referral,2,1,12.72,15,5,17.92,1,0.38,2,5,0.4,90.55,0,0.72,0,150,1,0,0
148,25-34,India,Monthly,Organic,1,1,5.19,7,3,8.05,0,0.44,4,14,0.81,68.0,0,0.7,1,20,0,0,0
149,18-24,USA,Annual,Ads,3,0,0.21,11,4,21.08,1,0.9,2,8,0.79,63.51,1,0.94,0,150,1,0,1
150,25-34,Germany,Monthly,Google,3,2,6.44,0,6,22.12,2,0.95,4,4,0.79,87.34,0,0.81,0,20,2,0,0
151,45-54,India,Free,Referral,3,0,6.19,51,3,28.08,4,0.41,4,0,0.36,82.05,1,0.95,0,0,1,1,1
152,18-24,India,Free,Ads,7,6,18.39,59,4,9.27,2,0.44,3,0,0.62,70.38,0,0.82,0,0,1,1,1
153,18-24,India,Free,Google,1,0,9.01,59,5,24.82,0,0.77,3,1,0.34,65.2,0,0.98,0,0,0,1,1
154,25-34,UK,Monthly,Google,3,2,0.17,46,5,16.9,1,0.45,2,11,0.56,46.29,0,0.85,2,20,1,0,1
155,55+,India,Annual,Referral,1,0,25.54,7,3,19.11,0,0.35,4,1,0.79,47.61,0,0.7,1,150,0,0,1
156,18-24,India,Free,Ads,7,3,18.6,12,8,21.78,1,0.61,4,11,0.19,86.32,0,0.99,1,0,2,0,0
157,35-44,USA,Annual,Organic,4,2,0.67,26,6,9.09,0,0.54,3,1,0.45,72.24,0,0.74,0,150,1,0,0
158,35-44,UK,Free,Referral,3,1,45.89,52,5,13.49,1,0.22,7,3,0.98,41.22,0,0.84,1,0,1,1,1
159,18-24,India,Free,Ads,4,1,16.01,17,5,9.48,1,0.64,2,1,0.33,57.7,0,0.91,0,0,0,0,0
160,35-44,India,Monthly,Referral,5,5,46.19,49,3,21.37,0,0.66,3,1,0.51,71.54,1,0.72,0,20,1,0,1
161,25-34,UK,Monthly,Ads,6,6,11.2,52,3,19.35,0,0.4,4,5,0.41,73.23,1,0.78,0,20,2,0,1
162,35-44,Australia,Annual,Google,3,3,2.29,3,4,21.42,0,0.66,1,2,0.05,85.58,0,0.95,0,150,2,1,0
163,35-44,UK,Monthly,Ads,0,0,5.41,15,4,20.62,0,0.38,2,14,0.79,65.48,0,0.89,0,20,1,0,1
164,25-34,Canada,Free,Organic,7,6,27.66,41,3,26.86,0,0.54,0,11,0.6,58.32,0,0.72,0,0,1,0,1
165,18-24,USA,Monthly,Organic,3,1,83.58,51,6,25.25,1,0.94,0,7,0.51,42.88,0,0.96,1,20,0,0,1
166,45-54,India,Annual,Ads,4,0,5.19,16,4,17.31,2,0.23,5,1,0.03,64.2,0,0.99,0,150,1,0,1
167,25-34,USA,Monthly,Google,3,1,8.42,55,3,21.51,2,0.99,3,1,0.82,73.71,0,0.9,0,20,0,0,1
168,18-24,Germany,Free,Google,1,0,2.5,56,6,1.41,0,0.33,6,0,0.99,66.02,0,0.94,0,0,1,0,1
169,18-24,USA,Free,Google,1,0,2.12,52,3,12.96,0,0.26,2,4,0.25,58.62,1,0.92,0,0,1,0,1
170,25-34,Germany,Free,Organic,7,5,20.54,51,6,12.22,2,0.73,4,6,0.69,68.63,0,0.71,0,0,0,0,1
171,35-44,Other,Free,Referral,3,3,12.04,56,4,9.83,1,0.47,3,5,0.64,86.28,0,0.93,1,0,3,0,1
172,18-24,India,Annual,Referral,3,0,20.71,42,8,7.38,0,0.87,3,4,0.52,62.06,0,0.89,0,150,0,0,1
173,25-34,India,Free,Referral,4,3,15.53,9,5,23.65,3,0.76,4,12,0.32,47.97,0,0.78,0,0,2,0,0
174,18-24,India,Monthly,Ads,1,0,12.41,21,2,10.19,0,0.34,4,4,0.56,65.31,0,0.79,0,20,1,0,1
175,35-44,USA,Monthly,Ads,3,3,41.08,50,5,12.7,1,0.68,2,6,0.51,53.3,0,0.85,0,20,0,0,1
176,18-24,India,Annual,Ads,1,0,4.96,52,5,20.4,2,0.91,2,10,0.41,86.91,0,0.76,1,150,1,0,1
177,35-44,Germany,Free,Ads,4,3,38.71,38,0,16.32,0,0.35,6,10,0.0,81.49,0,0.99,2,0,2,0,1
178,25-34,India,Monthly,Organic,4,2,48.74,22,3,22.55,0,0.33,4,4,0.1,70.75,1,0.81,0,20,1,0,0
179,45-54,India,Free,Google,3,0,0.32,39,3,23.09,1,0.75,4,5,0.57,74.53,0,0.81,0,0,2,0,1
180,18-24,India,Free,Referral,4,0,16.49,25,5,16.73,2,0.95,0,1,0.32,82.39,1,0.96,0,0,2,0,1
181,25-34,Australia,Free,Referral,4,3,19.51,4,2,20.17,1,0.94,2,11,0.29,76.39,0,0.74,0,0,0,0,0
182,18-24,UK,Monthly,Referral,3,0,40.23,27,6,16.92,2,0.25,4,0,0.11,64.88,0,0.98,0,20,1,0,1
183,45-54,Australia,Free,Google,4,1,23.45,38,1,11.09,1,0.61,5,6,0.61,66.32,0,0.76,0,0,1,0,1
184,45-54,Other,Monthly,Google,1,0,52.69,24,4,20.5,1,0.35,5,6,0.74,58.7,0,0.78,0,20,1,0,1
185,25-34,USA,Free,Google,1,0,5.52,0,5,17.68,3,0.68,3,9,0.06,64.64,1,0.9,0,0,1,0,1
186,35-44,India,Annual,Referral,0,0,18.3,17,5,15.16,2,0.71,4,11,0.76,58.6,0,0.97,1,150,0,0,1
187,45-54,India,Monthly,Organic,2,1,37.53,22,2,11.38,2,0.5,5,3,0.17,84.94,0,0.76,1,20,1,0,0
188,25-34,India,Annual,Google,6,3,15.63,57,0,11.25,1,0.25,1,3,0.19,68.0,0,0.97,0,150,0,0,1
189,25-34,Canada,Free,Google,4,3,4.76,38,5,28.99,1,0.58,6,6,0.92,70.81,0,0.92,1,0,1,0,1
190,18-24,India,Monthly,Organic,3,3,34.69,14,2,26.54,1,0.54,1,1,0.72,81.21,0,0.81,1,20,0,0,0
191,18-24,India,Monthly,Google,1,0,18.1,17,2,13.75,0,0.76,0,12,0.56,53.45,0,0.86,0,20,1,0,1
192,45-54,UK,Free,Organic,2,0,17.99,35,4,15.26,2,0.6,3,13,0.78,100.0,0,0.84,1,0,0,0,1
193,45-54,UK,Monthly,Ads,1,0,31.47,19,3,8.5,0,0.68,2,12,0.23,85.5,1,0.86,0,20,1,0,1
194,35-44,UK,Monthly,Organic,4,1,3.98,19,3,9.92,2,0.58,2,1,0.85,98.77,1,1.0,0,20,1,0,0
195,25-34,USA,Annual,Ads,3,0,70.85,7,1,20.37,0,0.42,2,10,0.88,50.86,0,0.75,0,150,0,0,1
196,25-34,Germany,Monthly,Google,4,4,29.72,31,1,20.08,1,0.54,3,5,0.22,73.86,0,0.95,0,20,1,1,1
197,35-44,USA,Free,Google,2,1,15.69,24,3,20.79,1,0.93,4,6,0.94,60.06,1,0.96,1,0,1,0,0
198,45-54,India,Free,Organic,7,5,19.8,40,1,12.38,1,0.44,0,11,0.11,91.49,0,0.88,1,0,1,0,1
199,45-54,Canada,Monthly,Google,4,3,5.21,3,2,7.23,0,0.67,4,9,0.61,99.0,1,0.88,0,20,2,0,0
200,35-44,Other,Free,Ads,1,0,0.17,57,4,19.19,1,0.25,7,11,0.09,80.68,0,0.8,0,0,2,0,1
201,35-44,India,Monthly,Ads,3,0,23.0,54,4,11.25,0,0.42,2,1,0.32,70.92,0,0.96,1,20,0,0,1
202,18-24,USA,Monthly,Organic,2,1,50.23,47,2,8.31,2,0.28,7,14,0.55,79.25,1,0.74,0,20,0,0,1
203,18-24,USA,Annual,Google,3,2,21.36,27,2,20.15,0,0.65,2,1,0.98,73.51,0,0.99,0,150,1,1,0
204,45-54,India,Monthly,Ads,8,6,9.1,25,4,11.79,2,0.8,4,12,0.89,81.41,0,0.8,1,20,3,0,0
205,35-44,Germany,Monthly,Google,2,0,33.76,13,4,8.38,1,0.51,3,3,0.67,80.99,0,0.96,0,20,1,0,1
